SEQ,M_MOA_CODE,M_POS_REGCODE,P_CODE,P_NAME,P_CAT_CODE,P_CAT,P_MCAT_CODE,P_MCAT,P_CAT_SEQNO,P_CAT_SUB,P_UNIT,P_BARCODE,P_LIST_PRICE,P_PROVIDER,P_SALE_PRICE,P_SALE_TITLE,P_MTIME,P_TAX_TYPE,P_INV_TYPE,P_REG_COUNT,P_IMG,IS_CUSTOM_IMAGE,P_TAGS,P_STATUS,P_MIN_STOCK,P_MIN_STOCK_DEFAULT,P_USE_MAXQTY_BRGN,P_MAXQTY_BRGN,P_MAXQTY_BRGN_DEFAULT,C_TIME,C_ID,M_TIME,M_ID,P_USE_MAXQTY_PD,P_VALUE_MAXQTY_PD,P_USE_MINQTY_PD,P_VALUE_MINQTY_PD
"3122296","M000000872","10875","721","2080어드밴스블루","10","비식품",\N,\N,"228","구강용품","140g","8801046265444","2670",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_애경-2080어드밴스블루치석케어_8801046265444.png""}],""main"":""1"",""priority"":""1""}]","N","#721#8801046265444#2080어드밴스블루#비식품#구강용품# 140g","A","5","5","N","5","5","2025-02-11 09:10:53","UA60498e774f77e","2025-02-11 09:10:53",\N,"N",\N,"N",\N
"3122294","M000000872","10875","721","2080어드밴스블루","10","비식품",\N,\N,"228","구강용품","140g","8801046265482","5500",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/2080_2080-파워쉴드치약-블루-더블민트-140gx3_8801046265482.png""}],""main"":""1"",""priority"":""1""}]","N","#721#8801046265482#2080어드밴스블루#비식품#구강용품# 140g*3 (묵음)","A","5","5","N","5","5","2025-02-11 09:10:47","UA60498e774f77e","2025-02-11 09:10:47",\N,"N",\N,"N",\N
"3122293","M000000872","10875","722","2080어드밴스레드","10","비식품",\N,\N,"228","구강용품","140g","8801046265475","2000",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_애경-2080어드밴스레드잇몸케어_8801046265475.png""}],""main"":""1"",""priority"":""1""}]","N","#722#8801046265475#2080어드밴스레드#비식품#구강용품# 140g","A","5","5","N","5","5","2025-02-11 09:10:44","UA60498e774f77e","2025-02-11 09:10:44",\N,"N",\N,"N",\N
"3122297","M000000872","10875","723","2080어드밴스레드","10","비식품",\N,\N,"228","구강용품","140g*3","8801046265505","5500",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/2080_2080-파워쉴드치약-골드-스피아민트-140gx3_8801046265505.png""}],""main"":""1"",""priority"":""1""}]","N","#723#8801046265505#2080어드밴스레드#비식품#구강용품# 140g*3","A","5","5","N","5","5","2025-02-11 09:11:01","UA60498e774f77e","2025-02-11 09:11:01",\N,"N",\N,"N",\N
"3122292","M000000872","10875","747","2082키즈3단계","10","비식품",\N,\N,"228","구강용품",\N,"8801046284490","3000",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_애경-키즈3단계-1입_8801046284490_1.png""}],""main"":""1"",""priority"":""1""}]","N","#747#8801046284490#2082키즈3단계#비식품#구강용품# NULL","A","5","5","N","5","5","2025-02-11 09:10:41","UA60498e774f77e","2025-02-11 09:10:41",\N,"N",\N,"N",\N
"3122288","M000000872","10875","779","2080토탈오리지날치약(블루)","10","비식품",\N,\N,"228","구강용품","150g","8801046310571","1600",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/2080_2080-시그니처-치약-블루-150g_8801046310571.png""}],""main"":""1"",""priority"":""1""}]","N","#779#8801046310571#2080토탈오리지날치약(블루)#비식품#구강용품# 150g","A","5","5","N","5","5","2025-02-11 09:10:30","UA60498e774f77e","2025-02-11 09:10:30",\N,"N",\N,"N",\N
"3122299","M000000872","10875","780","2080시그니쳐토탈블루치약","10","비식품",\N,\N,"228","구강용품","150g*4","8801046310588","6000",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_2080-시그니처-토탈블루-150gx4입_8801046310588_1.png""}],""main"":""1"",""priority"":""1""},{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_2080-시그니처-토탈블루-150gx4입_8801046310588_2.png""}],""main"":""0"",""priority"":""2""}]","N","#780#8801046310588#2080시그니쳐토탈블루치약#비식품#구강용품# 150g*4","A","5","5","N","5","5","2025-02-11 09:11:09","UA60498e774f77e","2025-02-11 09:11:09",\N,"N",\N,"N",\N
"3122291","M000000872","10875","781","2080토탈후레쉬민트치약(그린)","10","비식품",\N,\N,"228","구강용품","150g","8801046310595","1600",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/2080_2080-시그니처-치약-그린-150g_8801046310595.png""}],""main"":""1"",""priority"":""1""}]","N","#781#8801046310595#2080토탈후레쉬민트치약(그린)#비식품#구강용품# 150g","A","5","5","N","5","5","2025-02-11 09:10:38","UA60498e774f77e","2025-02-11 09:10:38",\N,"N",\N,"N",\N
"3122298","M000000872","10875","782","2080시그니쳐토탈그린치약","10","비식품",\N,\N,"228","구강용품","150g×4입","8801046310601","6000",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_덴탈-2080시그니처토탈그린-150gx4_8801046310601_1.png""}],""main"":""1"",""priority"":""1""},{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_덴탈-2080시그니처토탈그린-150gx4_8801046310601_2.png""}],""main"":""0"",""priority"":""2""}]","N","#782#8801046310601#2080시그니쳐토탈그린치약#비식품#구강용품# 150g×4입","A","5","5","N","5","5","2025-02-11 09:11:06","UA60498e774f77e","2025-02-11 09:11:06",\N,"N",\N,"N",\N
"3122282","M000000872","10875","783","2080치약&칫솔세트휴대용","10","비식품",\N,\N,"228","구강용품",\N,"8801046832479","3400",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_애경-2080치약+치솔셋트-0_8801046832479_1.png""}],""main"":""1"",""priority"":""1""}]","N","#783#8801046832479#2080치약&칫솔세트휴대용#비식품#구강용품# NULL","A","5","5","N","5","5","2025-02-11 09:10:12","UA60498e774f77e","2025-02-11 09:10:12",\N,"N",\N,"N",\N
